Memory,vCPUs,"CPU Type",Transfer,SSD,$/HR,$/MO,Type
1GB,1vCPU,Shared,1TB,25GB,$0.00744,$5.00,"Basic (Regular)"
2GB,1vCPU,Shared,2TB,50GB,$0.01488,$10.00,"Basic (Regular)"
2GB,2vCPUs,Shared,3TB,60GB,$0.02232,$15.00,"Basic (Regular)"
4GB,2vCPUs,Shared,4TB,80GB,$0.02976,$20.00,"Basic (Regular)"
8GB,4vCPUs,Shared,5TB,160GB,$0.05952,$40.00,"Basic (Regular)"
16GB,8vCPUs,Shared,6TB,320GB,$0.11905,$80.00,"Basic (Regular)"
1GB,1vCPU,Shared,1TB,25GB,$0.00893,$6.00,"Basic (Intel)"
2GB,1vCPU,Shared,2TB,50GB,$0.01786,$12.00,"Basic (Intel)"
2GB,2vCPUs,Shared,3TB,60GB,$0.02679,$18.00,"Basic (Intel)"
4GB,2vCPUs,Shared,4TB,80GB,$0.03571,$24.00,"Basic (Intel)"
8GB,4vCPUs,Shared,5TB,160GB,$0.07143,$48.00,"Basic (Intel)"
16GB,8vCPUs,Shared,6TB,500GB,$0.14286,$96.00,"Basic (Intel)"
8GB,2vCPUs,2.7,4TB,25GB,$0.08929,$60.00,"General Purpose"
16GB,4vCPUs,2.7,5TB,50GB,$0.17857,$120.00,"General Purpose"
32GB,8vCPUs,2.7,6TB,100GB,$0.35714,$240.00,"General Purpose"
64GB,16vCPUs,2.7,7TB,200GB,$0.71429,$480.00,"General Purpose"
128GB,32vCPUs,2.7,8TB,400GB,$1.42857,$960.00,"General Purpose"
160GB,40vCPUs,2.7,9TB,500GB,$1.78571,$1200.00,"General Purpose"
4GB,2vCPUs,2.7,4TB,25GB,$0.05952,$40.00,"CPU-Optimized"
4GB,2vCPUs,2.7,4TB,50GB,$0.06696,$45.00,"CPU-Optimized"
8GB,4vCPUs,2.7,5TB,50GB,$0.11905,$80.00,"CPU-Optimized"
8GB,4vCPUs,2.7,5TB,100GB,$0.13393,$90.00,"CPU-Optimized"
16GB,8vCPUs,2.7,6TB,100GB,$0.23810,$160.00,"CPU-Optimized"
16GB,8vCPUs,2.7,6TB,200GB,$0.26786,$180.00,"CPU-Optimized"
32GB,16vCPUs,2.7,7TB,200GB,$0.47619,$320.00,"CPU-Optimized"
32GB,16vCPUs,2.7,7TB,400GB,$0.53571,$360.00,"CPU-Optimized"
64GB,32vCPUs,2.7,9TB,400GB,$0.95238,$640.00,"CPU-Optimized"
64GB,32vCPUs,2.7,9TB,800GB,$1.07143,$720.00,"CPU-Optimized"
16GB,2vCPUs,2.7,4TB,50GB,$0.11905,$80.00,"Memory-Optimized"
16GB,2vCPUs,2.7,4TB,150GB,$0.14881,$100.00,"Memory-Optimized"
16GB,2vCPUs,2.7,4TB,300GB,$0.18601,$125.00,"Memory-Optimized"
32GB,4vCPUs,2.7,6TB,100GB,$0.23810,$160.00,"Memory-Optimized"
32GB,4vCPUs,2.7,6TB,300GB,$0.29018,$195.00,"Memory-Optimized"
32GB,4vCPUs,2.7,6TB,600GB,$0.37202,$250.00,"Memory-Optimized"
64GB,8vCPUs,2.7,7TB,200GB,$0.47619,$320.00,"Memory-Optimized"
64GB,8vCPUs,2.7,7TB,600GB,$0.58036,$390.00,"Memory-Optimized"
64GB,8vCPUs,2.7,7TB,1.17TB,$0.74405,$500.00,"Memory-Optimized"
128GB,16vCPUs,2.7,8TB,400GB,$0.95238,$640.00,"Memory-Optimized"
128GB,16vCPUs,2.7,8TB,1.17TB,$1.16815,$785.00,"Memory-Optimized"
128GB,16vCPUs,2.7,8TB,2.34TB,$1.48810,$1000.00,"Memory-Optimized"
192GB,24vCPUs,2.7,9TB,600GB,$1.42857,$960.00,"Memory-Optimized"
192GB,24vCPUs,2.7,9TB,1.76TB,$1.74851,$1175.00,"Memory-Optimized"
192GB,24vCPUs,2.7,9TB,3.52TB,$2.23214,$1500.00,"Memory-Optimized"
256GB,32vCPUs,2.7,10TB,800GB,$1.90476,$1280.00,"Memory-Optimized"
256GB,32vCPUs,2.7,10TB,2.34TB,$2.32887,$1565.00,"Memory-Optimized"
256GB,32vCPUs,2.7,10TB,4.69TB,$2.97619,$2000.00,"Memory-Optimized"
16GB,2vCPUs,2.7,4TB,300GB,$0.18601,$125.00,"Storage-Optimized"
16GB,2vCPUs,2.7,4TB,450GB,$0.23065,$155.00,"Storage-Optimized"
32GB,4vCPUs,2.7,6TB,600GB,$0.37202,$250.00,"Storage-Optimized"
32GB,4vCPUs,2.7,6TB,900GB,$0.46131,$310.00,"Storage-Optimized"
64GB,8vCPUs,2.7,7TB,1.17TB,$0.74405,$500.00,"Storage-Optimized"
64GB,8vCPUs,2.7,7TB,1.76TB,$0.92262,$620.00,"Storage-Optimized"
128GB,16vCPUs,2.7,8TB,2.34TB,$1.48810,$1000.00,"Storage-Optimized"
128GB,16vCPUs,2.7,8TB,3.52TB,$1.84524,$1240.00,"Storage-Optimized"
192GB,24vCPUs,2.7,9TB,3.52TB,$2.23214,$1500.00,"Storage-Optimized"
192GB,24vCPUs,2.7,9TB,5.27TB,$2.75298,$1850.00,"Storage-Optimized"
256GB,32vCPUs,2.7,10TB,4.69TB,$2.97619,$2000.00,"Storage-Optimized"
256GB,32vCPUs,2.7,10TB,7.03TB,$3.69048,$2480.00,"Storage-Optimized"
