"Name","Memory","vCPUs","CPU Type","GPU Number","GPU Type","Premium Storage support","Premium Storage Caching support","Live migration support","VM generation support","Maximum Local Disks","Maximum Data Disks","Disk IOPS","Maximum Network Interface","Temporary Storage (Gb)","Expected network bandwidth (Mbps)","Low Priority cost","1 year reserved cost","3 year reserved cost","Linux Pay As You Go cost","Windows Pay As You Go cost"
"A0","","","","","","False","False","False","","","","","","","","Unavailable","Unavailable","Unavailable","0.02 hourly","0.02 hourly"
"A1","1.75 Gib","1","Unknown","0","","False","False","False","Unknown","70","2","0","2","70","500","Unavailable","Unavailable","Unavailable","0.06 hourly","0.09 hourly"
"A1 v2","2 Gib","1","Unknown","0","","False","False","False","Unknown","10 GB","0","0","0","10 GB","Moderate","Unavailable","Unavailable","Unavailable","0.043 hourly","0.065 hourly"
"A2","3.5 Gib","2","Unknown","0","","False","False","False","Unknown","135","4","0","2","135","500","Unavailable","Unavailable","Unavailable","0.12 hourly","0.18 hourly"
"A2 v2","4 Gib","2","Unknown","0","","False","False","False","Unknown","20 GB","0","0","0","20 GB","Moderate","Unavailable","Unavailable","Unavailable","0.091 hourly","0.136 hourly"
"A2m v2","16 Gib","2","Unknown","0","","False","False","False","Unknown","20 GB","0","0","0","20 GB","Moderate","Unavailable","Unavailable","Unavailable","0.129 hourly","0.195 hourly"
"A3","7 Gib","4","Unknown","0","","False","False","False","Unknown","285","8","0","2","285","1000","Unavailable","Unavailable","Unavailable","0.24 hourly","0.36 hourly"
"A4","14 Gib","8","Unknown","0","","False","False","False","Unknown","605","16","0","4","605","2000","Unavailable","Unavailable","Unavailable","0.48 hourly","0.72 hourly"
"A4 v2","8 Gib","4","Unknown","0","","False","False","False","Unknown","40 GB","0","0","0","40 GB","High","Unavailable","Unavailable","Unavailable","0.191 hourly","0.286 hourly"
"A4m v2","32 Gib","4","Unknown","0","","False","False","False","Unknown","40 GB","0","0","0","40 GB","High","Unavailable","Unavailable","Unavailable","0.27 hourly","0.41 hourly"
"A5","14 Gib","2","Unknown","0","","False","False","False","Unknown","135","4","0","2","135","500","Unavailable","Unavailable","Unavailable","0.25 hourly","0.33 hourly"
"A6","28 Gib","4","Unknown","0","","False","False","False","Unknown","285","8","0","2","285","1000","Unavailable","Unavailable","Unavailable","0.5 hourly","0.66 hourly"
"A7","56 Gib","8","Unknown","0","","False","False","False","Unknown","605","16","0","4","605","2000","Unavailable","Unavailable","Unavailable","1. hourly","1.32 hourly"
"A8 v2","16 Gib","8","Unknown","0","","False","False","False","Unknown","80 GB","0","0","0","80 GB","High","Unavailable","Unavailable","Unavailable","0.4 hourly","0.6 hourly"
"A8m v2","64 Gib","8","Unknown","0","","False","False","False","Unknown","80 GB","0","0","0","80 GB","High","Unavailable","Unavailable","Unavailable","0.568 hourly","0.86 hourly"
"B12ms","48 Gib","12","N/A","0","","True","False","True","Generation 1 and 2","96","16","4320/50","6","96","","Unavailable","0.35057 hourly","0.22553 hourly","0.599 hourly","0.647 hourly"
"B16ms","64 Gib","16","N/A","0","","True","False","True","Generation 1 and 2","128","32","4320/50","8","128","","Unavailable","0.46747 hourly","0.30072 hourly","0.799 hourly","0.863 hourly"
"B1ls","0.5 Gib","1","N/A","0","","True","False","True","Generation 1 and 2","4","2","160/10","2","4","","Unavailable","0.00365 hourly","0.00236 hourly","0.00624 hourly","Unavailable"
"B1ms","2 Gib","1","N/A","0","","True","False","True","Generation 1 and 2","4","2","640/10","2","4","","Unavailable","0.01621 hourly","0.01046 hourly","0.025 hourly","0.029 hourly"
"B1s","1 Gib","1","N/A","0","","True","False","True","Generation 1 and 2","4","2","320/10","2","4","","Unavailable","0.00731 hourly","0.00472 hourly","0.0125 hourly","0.0165 hourly"
"B20ms","80 Gib","20","N/A","0","","True","False","True","Generation 1 and 2","160","32","4320/50","8","160","","Unavailable","0.58425 hourly","0.37591 hourly","0.998 hourly","1.078 hourly"
"B2ms","8 Gib","2","N/A","0","","True","False","True","Generation 1 and 2","16","4","1920/22.5","3","16","","Unavailable","0.05845 hourly","0.0376 hourly","0.0998 hourly","0.108 hourly"
"B2s","4 Gib","2","N/A","0","","True","False","True","Generation 1 and 2","8","4","1280/15","3","8","","Unavailable","0.02922 hourly","0.0188 hourly","0.0499 hourly","0.0579 hourly"
"B4ms","16 Gib","4","N/A","0","","True","False","True","Generation 1 and 2","32","8","2880/35","4","32","","Unavailable","0.11689 hourly","0.07519 hourly","0.2 hourly","0.216 hourly"
"B8ms","32 Gib","8","N/A","0","","True","False","True","Generation 1 and 2","64","16","4320/50","4","64","","Unavailable","0.23368 hourly","0.15034 hourly","0.399 hourly","0.431 hourly"
"D1","3.5 Gib","1","Intel Xeon E5-2660 v2 (2.2GHz), Intel Xeon E5-2673 v3 2.4GHz (Haswell), Intel Xeon E5-2673 v4 2.3GHz (Broadwell)","0","","False","False","False","unknown","50","4","4x500","2","50","500","Unavailable","0.04829 hourly","0.03135 hourly","0.077 hourly","0.14 hourly"
