Name,vCPUs,RAM (GB),CPU Speed,Monthly Cost (on demand),Notes,Cloud
t4g.nano,0,0.5,2.5,$3.07,Intended for testing and development,AWS
t3a.nano,0,0.5,2.5,$3.43,Intended for testing and development,AWS
t3.nano,0,0.5,3.1,$3.80,Intended for testing and development,AWS
t2.nano,0,0.5,Unknown,$4.23,Intended for testing and development,AWS
B1ls,1.0,0.5,N/A,$4.56,General-purpose,Azure
Basic (Regular) $5.00,1.0,1.0,Shared,$5.43,Includes 25GB of storage,Digital Ocean
f1-micro,shared,0.6,2.3,$5.55,micro,GCP
e2-micro,0.25,1.0,"Skylake, Broadwell, Haswell, AMD EPYC Rome",$6.12,micro,GCP
t4g.micro,0,1.0,2.5,$6.13,Intended for testing and development,AWS
Basic (Intel) $6.00,1.0,1.0,Shared,$6.52,Includes 25GB of storage,Digital Ocean
t3a.micro,0,1.0,2.5,$6.86,Intended for testing and development,AWS
t3.micro,0,1.0,3.1,$7.59,Intended for testing and development,AWS
t2.micro,0,1.0,Unknown,$8.47,Intended for testing and development,AWS
B1s,1.0,1.0,N/A,$9.12,General-purpose,Azure
Basic (Regular) $10.00,1.0,2.0,Shared,$10.86,Includes 50GB of storage,Digital Ocean
e2-small,0.5,2.0,N/A,$12.23,small,GCP
t4g.small,0,2.0,2.5,$12.26,Intended for testing and development,AWS
Basic (Intel) $12.00,1.0,2.0,Shared,$13.04,Includes 50GB of storage,Digital Ocean
t3a.small,0,2.0,2.5,$13.72,Intended for testing and development,AWS
t1.micro,1.0,0.613,Unknown,$14.60,Intended for testing and development,AWS
A0,0,Unknown,,$14.60,General-purpose,Azure
t3.small,0,2.0,3.1,$15.18,Intended for testing and development,AWS
Basic (Regular) $15.00,2.0,2.0,Shared,$16.29,Includes 60GB of storage,Digital Ocean
t2.small,0,2.0,Unknown,$16.79,Intended for testing and development,AWS
B1ms,1.0,2.0,N/A,$18.25,General-purpose,Azure
a1.medium,1.0,2.0,2.3,$18.61,,AWS
Basic (Intel) $18.00,2.0,2.0,Shared,$19.56,Includes 60GB of storage,Digital Ocean
g1-small,shared,1.7,2.3,$19.71,small,GCP
Basic (Regular) $20.00,2.0,4.0,Shared,$21.72,Includes 80GB of storage,Digital Ocean
e2-medium,1.0,4.0,"Skylake, Broadwell, Haswell, AMD EPYC Rome",$24.46,medium,GCP
t4g.medium,0,4.0,2.5,$24.53,Intended for testing and development,AWS
c6g.medium,1.0,2.0,2.5,$24.82,Compute-optimized,AWS
Basic (Intel) $24.00,2.0,4.0,Shared,$26.07,Includes 80GB of storage,Digital Ocean
t3a.medium,0,4.0,2.5,$27.45,Intended for testing and development,AWS
c6gd.medium,1.0,2.0,2.5,$28.03,Compute-optimized,AWS
m6g.medium,1.0,4.0,Unknown,$28.11,Memory-optimized,AWS
t3.medium,0,4.0,3.1,$30.37,Intended for testing and development,AWS
t2d-standard-1,1.0,4.0,AMD EPYC Milan,$30.84,standard,GCP
A1 v2,1.0,2.0,Unknown,$31.39,General-purpose,Azure
